phylum,order,family,genus,val_int,val_str,from_user,to_user,user_state,race,breed,division,section,population,cts
server_event,server_mm_completed,SUCCESS,LUDO,1379,,Y15bPrZmGADQTnwF,,0,SUCCESS,,,,1690767715727,1690767715
server_event,server_mm_completed,SUCCESS,LUDO,5123,,ZMClaHLWiTJoSVN7,,0,SUCCESS,,,,1690771208851,1690771208
server_event,server_mm_completed,SUCCESS,LUDO,5122,,ZG1CK7yNtEImvJTv,,0,SUCCESS,,,,1690778304346,1690778304
server_event,server_mm_completed,SUCCESS,LUDO,4471,,ZABxr1gwiFJomC3Y,,0,SUCCESS,,,,1690788888633,1690788888
server_event,server_mm_completed,SUCCESS,LUDO,2361,,Y8EP1kmfs3hwEvAk,,0,SUCCESS,,,,1690789221916,1690789221
server_event,server_mm_completed,SUCCESS,LUDO,3940,,ZL-7jN1zQHsIgi39,,0,SUCCESS,,,,1690800418827,1690800418
server_event,server_mm_completed,SUCCESS,LUDO,3144,,YqBmZa57zG_JytG3,,0,SUCCESS,,,,1690802551731,1690802551
server_event,server_mm_completed,SUCCESS,LUDO,8911,,Y0zjs21ohV8n4f0W,,0,SUCCESS,,,,1690804334760,1690804334
server_event,server_mm_completed,SUCCESS,LUDO,5680,,Y7Y57NNKBiU1H1SJ,,0,SUCCESS,,,,1690808213860,1690808213
server_event,server_mm_completed,SUCCESS,LUDO,4029,,Y75Vasw7ODcyuaa1,,0,SUCCESS,,,,1690812408220,1690812408
server_event,game_room_joined,game_screen,ludo,1593,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,"{""maxPlayer"":2,""uids"":[""Y15bPrZmGADQTnwF"",""ZL_rrCRuqDFACGpN""],""playerJoined"":[""Y15bPrZmGADQTnwF"",""ZL_rrCRuqDFACGpN""],""minPlayer"":2,""playerMatched"":2}","{""ticket_game"":""no"",""rejoin"":false,""mmPollingTimeSpent"":1031,""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,,,1690767715941
server_event,user_pullout,match_making_screen_v2,ludo,-1449398,CASH,Y15bPrZmGADQTnwF,,,,"{""ticket_game"":""no"",""rejoin"":false,""pullOutType"":CLEAR_AFTER_POLLING,""mmPollingTimeSpent"":1031,""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,,,1690767715941
server_event,user_reconnected,game_screen,ludo,,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,,"{""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,,-100,1690767715941
server_event,user_pullout_completed,match_making_screen_v2,ludo,-1449398,CASH,Y15bPrZmGADQTnwF,,,"{""isPulledOut"":false,""roomId"":""LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da""}","{""ticket_game"":""no"",""rejoin"":false,""pullOutType"":CLEAR_AFTER_POLLING,""mmPollingTimeSpent"":1031,""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,,,1690767715947
server_event,table_search_completed,match_making_screen_v2,ludo,1599,CASH,Y15bPrZmGADQTnwF,"{""ZL_rrCRuqDFACGpN"":""non_vip"",""Y15bPrZmGADQTnwF"":""non_vip""}",0,SUCCESS,"{""ticket_game"":""no"",""rejoin"":false,""M_Thres"":1,""T_abort"":20000,""mmPollingTimeSpent"":1031,""T_min"":12000,""tournament_id"":""ZMcI79oK51VNRMmu""}",LUDO-a540c8f1-78ca-46da-8abd-faf6fa4a68da,,,1690767715947
